'2_3k_water.spc - RawData'
'Wavelength nm.'	'Abs.'
200.0	0.0860
201.0	0.0836
202.0	0.0805
203.0	0.0778
204.0	0.0754
205.0	0.0731
206.0	0.0714
207.0	0.0698
208.0	0.0685
209.0	0.0672
210.0	0.0660
211.0	0.0651
212.0	0.0644
213.0	0.0633
214.0	0.0624
215.0	0.0615
216.0	0.0609
217.0	0.0602
218.0	0.0591
219.0	0.0584
220.0	0.0578
221.0	0.0574
222.0	0.0568
223.0	0.0564
224.0	0.0558
225.0	0.0553
226.0	0.0547
227.0	0.0545
228.0	0.0540
229.0	0.0537
230.0	0.0531
231.0	0.0532
232.0	0.0526
233.0	0.0523
234.0	0.0515
235.0	0.0513
236.0	0.0509
237.0	0.0509
238.0	0.0506
239.0	0.0501
240.0	0.0498
241.0	0.0496
242.0	0.0496
243.0	0.0492
244.0	0.0488
245.0	0.0486
246.0	0.0484
247.0	0.0482
248.0	0.0480
249.0	0.0480
250.0	0.0475
251.0	0.0475
252.0	0.0472
253.0	0.0473
254.0	0.0472
255.0	0.0469
256.0	0.0468
257.0	0.0465
258.0	0.0466
259.0	0.0464
260.0	0.0463
261.0	0.0460
262.0	0.0457
263.0	0.0457
264.0	0.0456
265.0	0.0457
266.0	0.0456
267.0	0.0456
268.0	0.0454
269.0	0.0452
270.0	0.0451
271.0	0.0450
272.0	0.0451
273.0	0.0448
274.0	0.0448
275.0	0.0449
276.0	0.0450
277.0	0.0449
278.0	0.0448
279.0	0.0447
280.0	0.0447
281.0	0.0445
282.0	0.0443
283.0	0.0442
284.0	0.0440
285.0	0.0440
286.0	0.0439
287.0	0.0438
288.0	0.0437
289.0	0.0437
290.0	0.0436
291.0	0.0436
292.0	0.0433
293.0	0.0432
294.0	0.0431
295.0	0.0430
296.0	0.0430
297.0	0.0430
298.0	0.0429
299.0	0.0428
300.0	0.0422
301.0	0.0422
302.0	0.0419
303.0	0.0420
304.0	0.0417
305.0	0.0419
306.0	0.0417
307.0	0.0417
308.0	0.0417
309.0	0.0416
310.0	0.0416
311.0	0.0412
312.0	0.0414
313.0	0.0413
314.0	0.0415
315.0	0.0415
316.0	0.0415
317.0	0.0414
318.0	0.0410
319.0	0.0408
320.0	0.0407
321.0	0.0408
322.0	0.0410
323.0	0.0410
324.0	0.0411
325.0	0.0408
326.0	0.0406
327.0	0.0404
328.0	0.0406
329.0	0.0405
330.0	0.0406
331.0	0.0404
332.0	0.0402
333.0	0.0399
334.0	0.0399
335.0	0.0399
336.0	0.0399
337.0	0.0400
338.0	0.0399
339.0	0.0398
340.0	0.0396
341.0	0.0397
342.0	0.0397
343.0	0.0398
344.0	0.0397
345.0	0.0397
346.0	0.0396
347.0	0.0395
348.0	0.0393
349.0	0.0392
350.0	0.0393
351.0	0.0394
352.0	0.0394
353.0	0.0394
354.0	0.0394
355.0	0.0393
356.0	0.0393
357.0	0.0393
358.0	0.0394
359.0	0.0394
360.0	0.0394
361.0	0.0394
362.0	0.0392
363.0	0.0391
364.0	0.0390
365.0	0.0390
366.0	0.0390
367.0	0.0390
368.0	0.0389
369.0	0.0387
370.0	0.0388
371.0	0.0388
372.0	0.0387
373.0	0.0386
374.0	0.0385
375.0	0.0387
376.0	0.0388
377.0	0.0389
378.0	0.0389
379.0	0.0388
380.0	0.0388
381.0	0.0386
382.0	0.0386
383.0	0.0385
384.0	0.0386
385.0	0.0386
386.0	0.0388
387.0	0.0387
388.0	0.0386
389.0	0.0384
390.0	0.0383
391.0	0.0384
392.0	0.0384
393.0	0.0384
394.0	0.0382
395.0	0.0383
396.0	0.0383
397.0	0.0385
398.0	0.0384
399.0	0.0383
400.0	0.0383
401.0	0.0383
402.0	0.0383
403.0	0.0384
404.0	0.0383
405.0	0.0383
406.0	0.0383
407.0	0.0383
408.0	0.0383
409.0	0.0382
410.0	0.0383
411.0	0.0383
412.0	0.0383
413.0	0.0381
414.0	0.0380
415.0	0.0379
416.0	0.0379
417.0	0.0379
418.0	0.0380
419.0	0.0379
420.0	0.0380
421.0	0.0379
422.0	0.0379
423.0	0.0378
424.0	0.0378
425.0	0.0377
426.0	0.0377
427.0	0.0378
428.0	0.0377
429.0	0.0377
430.0	0.0378
431.0	0.0379
432.0	0.0379
433.0	0.0378
434.0	0.0378
435.0	0.0378
436.0	0.0377
437.0	0.0377
438.0	0.0377
439.0	0.0376
440.0	0.0375
441.0	0.0376
442.0	0.0377
443.0	0.0377
444.0	0.0376
445.0	0.0376
446.0	0.0376
447.0	0.0376
448.0	0.0375
449.0	0.0376
450.0	0.0375
451.0	0.0375
452.0	0.0376
453.0	0.0376
454.0	0.0376
455.0	0.0374
456.0	0.0374
457.0	0.0374
458.0	0.0374
459.0	0.0375
460.0	0.0376
461.0	0.0376
462.0	0.0375
463.0	0.0375
464.0	0.0376
465.0	0.0376
466.0	0.0376
467.0	0.0376
468.0	0.0375
469.0	0.0375
470.0	0.0376
471.0	0.0378
472.0	0.0378
473.0	0.0377
474.0	0.0377
475.0	0.0377
476.0	0.0377
477.0	0.0376
478.0	0.0377
479.0	0.0377
480.0	0.0377
481.0	0.0377
482.0	0.0378
483.0	0.0377
484.0	0.0376
485.0	0.0375
486.0	0.0375
487.0	0.0374
488.0	0.0374
489.0	0.0375
490.0	0.0374
491.0	0.0375
492.0	0.0374
493.0	0.0375
494.0	0.0374
495.0	0.0375
496.0	0.0374
497.0	0.0375
498.0	0.0374
499.0	0.0374
500.0	0.0374
501.0	0.0374
502.0	0.0374
503.0	0.0374
504.0	0.0374
505.0	0.0374
506.0	0.0375
507.0	0.0374
508.0	0.0374
509.0	0.0374
510.0	0.0374
511.0	0.0373
512.0	0.0374
513.0	0.0375
514.0	0.0375
515.0	0.0375
516.0	0.0375
517.0	0.0375
518.0	0.0374
519.0	0.0374
520.0	0.0373
521.0	0.0373
522.0	0.0374
523.0	0.0375
524.0	0.0375
525.0	0.0375
526.0	0.0375
527.0	0.0375
528.0	0.0375
529.0	0.0375
530.0	0.0374
531.0	0.0373
532.0	0.0372
533.0	0.0373
534.0	0.0372
535.0	0.0372
536.0	0.0371
537.0	0.0372
538.0	0.0372
539.0	0.0372
540.0	0.0372
541.0	0.0372
542.0	0.0373
543.0	0.0372
544.0	0.0371
545.0	0.0371
546.0	0.0371
547.0	0.0372
548.0	0.0371
549.0	0.0372
550.0	0.0371
551.0	0.0371
552.0	0.0371
553.0	0.0373
554.0	0.0372
555.0	0.0372
556.0	0.0372
557.0	0.0371
558.0	0.0370
559.0	0.0370
560.0	0.0372
561.0	0.0372
