'aceton_AS15.2.spc - RawData'
'Wavelength nm.'	'Abs.'
310.0	6.0000
311.0	6.0000
312.0	6.0000
313.0	6.0000
314.0	6.0000
315.0	6.0000
316.0	5.4770
317.0	5.0447
318.0	5.4850
319.0	5.4416
320.0	5.6318
321.0	4.7518
322.0	4.5367
323.0	3.9710
324.0	3.5663
325.0	3.2249
326.0	2.9406
327.0	2.6886
328.0	2.4757
329.0	2.2939
330.0	2.1438
331.0	2.0155
332.0	1.9063
333.0	1.8114
334.0	1.7283
335.0	1.6543
336.0	1.5887
337.0	1.5299
338.0	1.4777
339.0	1.4304
340.0	1.3868
341.0	1.3462
342.0	1.3072
343.0	1.2697
344.0	1.2341
345.0	1.2001
346.0	1.1674
347.0	1.1354
348.0	1.1046
349.0	1.0744
350.0	1.0446
351.0	1.0156
352.0	0.9873
353.0	0.9593
354.0	0.9313
355.0	0.9038
356.0	0.8771
357.0	0.8513
358.0	0.8259
359.0	0.8007
360.0	0.7753
361.0	0.7512
362.0	0.7280
363.0	0.7064
364.0	0.6850
365.0	0.6646
366.0	0.6450
367.0	0.6263
368.0	0.6082
369.0	0.5910
370.0	0.5748
371.0	0.5598
372.0	0.5455
373.0	0.5318
374.0	0.5184
375.0	0.5061
376.0	0.4945
377.0	0.4838
378.0	0.4738
379.0	0.4651
380.0	0.4576
381.0	0.4509
382.0	0.4450
383.0	0.4398
384.0	0.4356
385.0	0.4320
386.0	0.4293
387.0	0.4272
388.0	0.4258
389.0	0.4249
390.0	0.4247
391.0	0.4250
392.0	0.4255
393.0	0.4262
394.0	0.4274
395.0	0.4288
396.0	0.4303
397.0	0.4320
398.0	0.4340
399.0	0.4364
400.0	0.4390
401.0	0.4417
402.0	0.4447
403.0	0.4479
404.0	0.4516
405.0	0.4557
406.0	0.4602
407.0	0.4650
408.0	0.4700
409.0	0.4750
410.0	0.4800
411.0	0.4847
412.0	0.4895
413.0	0.4942
414.0	0.4989
415.0	0.5038
416.0	0.5085
417.0	0.5131
418.0	0.5174
419.0	0.5215
420.0	0.5252
421.0	0.5291
422.0	0.5329
423.0	0.5367
424.0	0.5406
425.0	0.5448
426.0	0.5491
427.0	0.5535
428.0	0.5579
429.0	0.5624
430.0	0.5669
431.0	0.5711
432.0	0.5748
433.0	0.5783
434.0	0.5814
435.0	0.5842
436.0	0.5867
437.0	0.5887
438.0	0.5903
439.0	0.5914
440.0	0.5922
441.0	0.5924
442.0	0.5921
443.0	0.5913
444.0	0.5899
445.0	0.5879
446.0	0.5852
447.0	0.5819
448.0	0.5782
449.0	0.5743
450.0	0.5700
451.0	0.5653
452.0	0.5602
453.0	0.5547
454.0	0.5486
455.0	0.5418
456.0	0.5342
457.0	0.5257
458.0	0.5162
459.0	0.5056
460.0	0.4944
461.0	0.4827
462.0	0.4706
463.0	0.4584
464.0	0.4461
465.0	0.4344
466.0	0.4237
467.0	0.4144
468.0	0.4065
469.0	0.4001
470.0	0.3954
471.0	0.3920
472.0	0.3900
473.0	0.3892
474.0	0.3898
475.0	0.3915
476.0	0.3940
477.0	0.3970
478.0	0.4005
479.0	0.4042
480.0	0.4080
481.0	0.4114
482.0	0.4141
483.0	0.4161
484.0	0.4170
485.0	0.4166
486.0	0.4145
487.0	0.4103
488.0	0.4039
489.0	0.3952
490.0	0.3842
491.0	0.3708
492.0	0.3555
493.0	0.3388
494.0	0.3212
495.0	0.3028
496.0	0.2840
497.0	0.2652
498.0	0.2473
499.0	0.2300
500.0	0.2140
501.0	0.1992
502.0	0.1855
503.0	0.1731
504.0	0.1616
505.0	0.1512
506.0	0.1416
507.0	0.1330
508.0	0.1253
509.0	0.1184
510.0	0.1125
511.0	0.1069
512.0	0.1019
513.0	0.0972
514.0	0.0930
515.0	0.0890
516.0	0.0852
517.0	0.0819
518.0	0.0788
519.0	0.0760
520.0	0.0733
521.0	0.0708
522.0	0.0683
523.0	0.0662
524.0	0.0642
525.0	0.0625
526.0	0.0608
527.0	0.0593
528.0	0.0579
529.0	0.0566
530.0	0.0551
531.0	0.0536
532.0	0.0524
533.0	0.0514
534.0	0.0505
535.0	0.0495
536.0	0.0488
537.0	0.0480
538.0	0.0473
539.0	0.0466
540.0	0.0460
541.0	0.0453
542.0	0.0447
543.0	0.0442
544.0	0.0437
