'chcl3_AS15.2.spc - RawData'
'Wavelength nm.'	'Abs.'
310.0	0.7323
311.0	0.6556
312.0	0.5840
313.0	0.5151
314.0	0.4511
315.0	0.3935
316.0	0.3432
317.0	0.3001
318.0	0.2625
319.0	0.2312
320.0	0.2058
321.0	0.1858
322.0	0.1700
323.0	0.1575
324.0	0.1478
325.0	0.1401
326.0	0.1339
327.0	0.1287
328.0	0.1249
329.0	0.1214
330.0	0.1189
331.0	0.1166
332.0	0.1148
333.0	0.1132
334.0	0.1118
335.0	0.1106
336.0	0.1094
337.0	0.1084
338.0	0.1073
339.0	0.1066
340.0	0.1057
341.0	0.1052
342.0	0.1046
343.0	0.1043
344.0	0.1040
345.0	0.1037
346.0	0.1036
347.0	0.1035
348.0	0.1035
349.0	0.1038
350.0	0.1042
351.0	0.1045
352.0	0.1047
353.0	0.1050
354.0	0.1055
355.0	0.1059
356.0	0.1065
357.0	0.1071
358.0	0.1078
359.0	0.1086
360.0	0.1093
361.0	0.1103
362.0	0.1114
363.0	0.1127
364.0	0.1139
365.0	0.1150
366.0	0.1162
367.0	0.1176
368.0	0.1191
369.0	0.1208
370.0	0.1225
371.0	0.1241
372.0	0.1258
373.0	0.1275
374.0	0.1293
375.0	0.1312
376.0	0.1331
377.0	0.1352
378.0	0.1374
379.0	0.1399
380.0	0.1427
381.0	0.1456
382.0	0.1485
383.0	0.1515
384.0	0.1546
385.0	0.1578
386.0	0.1611
387.0	0.1644
388.0	0.1679
389.0	0.1712
390.0	0.1746
391.0	0.1780
392.0	0.1811
393.0	0.1841
394.0	0.1872
395.0	0.1905
396.0	0.1937
397.0	0.1971
398.0	0.2007
399.0	0.2048
400.0	0.2090
401.0	0.2135
402.0	0.2182
403.0	0.2232
404.0	0.2286
405.0	0.2342
406.0	0.2401
407.0	0.2462
408.0	0.2522
409.0	0.2576
410.0	0.2626
411.0	0.2669
412.0	0.2707
413.0	0.2740
414.0	0.2768
415.0	0.2790
416.0	0.2805
417.0	0.2817
418.0	0.2826
419.0	0.2834
420.0	0.2842
421.0	0.2851
422.0	0.2867
423.0	0.2887
424.0	0.2915
425.0	0.2949
426.0	0.2990
427.0	0.3035
428.0	0.3085
429.0	0.3137
430.0	0.3190
431.0	0.3241
432.0	0.3286
433.0	0.3325
434.0	0.3354
435.0	0.3375
436.0	0.3383
437.0	0.3373
438.0	0.3345
439.0	0.3300
440.0	0.3240
441.0	0.3163
442.0	0.3072
443.0	0.2972
444.0	0.2866
445.0	0.2757
446.0	0.2646
447.0	0.2540
448.0	0.2439
449.0	0.2347
450.0	0.2263
451.0	0.2191
452.0	0.2129
453.0	0.2076
454.0	0.2032
455.0	0.1996
456.0	0.1965
457.0	0.1940
458.0	0.1918
459.0	0.1897
460.0	0.1876
461.0	0.1855
462.0	0.1831
463.0	0.1806
464.0	0.1778
465.0	0.1747
466.0	0.1715
467.0	0.1683
468.0	0.1653
469.0	0.1623
470.0	0.1597
471.0	0.1573
472.0	0.1552
473.0	0.1534
474.0	0.1521
475.0	0.1513
476.0	0.1510
477.0	0.1508
478.0	0.1510
479.0	0.1515
480.0	0.1524
481.0	0.1533
482.0	0.1542
483.0	0.1553
484.0	0.1563
485.0	0.1573
486.0	0.1581
487.0	0.1586
488.0	0.1587
489.0	0.1583
490.0	0.1574
491.0	0.1559
492.0	0.1536
493.0	0.1507
494.0	0.1472
495.0	0.1431
496.0	0.1386
497.0	0.1335
498.0	0.1282
499.0	0.1226
500.0	0.1169
501.0	0.1113
502.0	0.1058
503.0	0.1005
504.0	0.0953
505.0	0.0903
506.0	0.0856
507.0	0.0811
508.0	0.0771
509.0	0.0734
510.0	0.0701
511.0	0.0671
512.0	0.0644
513.0	0.0620
514.0	0.0598
515.0	0.0577
516.0	0.0558
517.0	0.0543
518.0	0.0529
519.0	0.0517
520.0	0.0506
521.0	0.0496
522.0	0.0486
523.0	0.0479
524.0	0.0473
525.0	0.0469
526.0	0.0465
527.0	0.0461
528.0	0.0458
529.0	0.0453
530.0	0.0448
531.0	0.0443
532.0	0.0440
533.0	0.0437
534.0	0.0436
535.0	0.0434
536.0	0.0433
537.0	0.0431
538.0	0.0430
539.0	0.0429
540.0	0.0428
541.0	0.0426
542.0	0.0425
543.0	0.0424
544.0	0.0423
545.0	0.0422
546.0	0.0421
547.0	0.0421
548.0	0.0421
549.0	0.0420
550.0	0.0419
551.0	0.0418
552.0	0.0418
553.0	0.0417
554.0	0.0417
555.0	0.0415
556.0	0.0415
557.0	0.0414
558.0	0.0412
559.0	0.0412
560.0	0.0412
561.0	0.0411
562.0	0.0410
563.0	0.0411
564.0	0.0411
565.0	0.0410
566.0	0.0407
567.0	0.0406
568.0	0.0406
569.0	0.0405
570.0	0.0405
571.0	0.0404
572.0	0.0405
573.0	0.0404
574.0	0.0404
575.0	0.0404
576.0	0.0403
577.0	0.0404
578.0	0.0404
579.0	0.0404
580.0	0.0404
581.0	0.0404
582.0	0.0405
583.0	0.0405
584.0	0.0404
585.0	0.0404
586.0	0.0404
587.0	0.0405
588.0	0.0403
589.0	0.0402
590.0	0.0399
591.0	0.0398
592.0	0.0397
593.0	0.0398
594.0	0.0398
595.0	0.0397
596.0	0.0397
597.0	0.0396
598.0	0.0395
599.0	0.0393
600.0	0.0393
601.0	0.0392
602.0	0.0392
603.0	0.0392
604.0	0.0391
605.0	0.0391
606.0	0.0392
607.0	0.0392
608.0	0.0391
609.0	0.0390
610.0	0.0388
611.0	0.0388
612.0	0.0389
613.0	0.0389
614.0	0.0387
615.0	0.0387
616.0	0.0386
617.0	0.0387
618.0	0.0387
619.0	0.0387
620.0	0.0387
621.0	0.0387
622.0	0.0386
623.0	0.0386
624.0	0.0386
625.0	0.0386
626.0	0.0385
627.0	0.0385
628.0	0.0384
629.0	0.0385
630.0	0.0384
631.0	0.0384
632.0	0.0384
633.0	0.0384
634.0	0.0384
635.0	0.0384
636.0	0.0384
637.0	0.0383
638.0	0.0383
639.0	0.0383
640.0	0.0383
641.0	0.0383
642.0	0.0383
643.0	0.0383
644.0	0.0383
645.0	0.0382
646.0	0.0382
647.0	0.0384
648.0	0.0383
649.0	0.0384
650.0	0.0383
651.0	0.0384
652.0	0.0384
653.0	0.0384
654.0	0.0383
655.0	0.0384
656.0	0.0384
657.0	0.0385
658.0	0.0386
659.0	0.0388
660.0	0.0389
661.0	0.0388
662.0	0.0388
663.0	0.0388
664.0	0.0386
665.0	0.0384
666.0	0.0384
667.0	0.0383
668.0	0.0383
669.0	0.0383
670.0	0.0383
671.0	0.0383
672.0	0.0381
673.0	0.0380
674.0	0.0379
675.0	0.0378
676.0	0.0377
677.0	0.0378
678.0	0.0379
679.0	0.0381
680.0	0.0383
681.0	0.0384
682.0	0.0384
683.0	0.0382
684.0	0.0383
685.0	0.0382
686.0	0.0382
687.0	0.0381
688.0	0.0381
