'etoh_AS15.2.spc - RawData'
'Wavelength nm.'	'Abs.'
310.0	0.6850
311.0	0.6115
312.0	0.5456
313.0	0.4850
314.0	0.4298
315.0	0.3808
316.0	0.3385
317.0	0.3025
318.0	0.2708
319.0	0.2439
320.0	0.2212
321.0	0.2023
322.0	0.1863
323.0	0.1723
324.0	0.1606
325.0	0.1505
326.0	0.1424
327.0	0.1350
328.0	0.1290
329.0	0.1235
330.0	0.1191
331.0	0.1150
332.0	0.1114
333.0	0.1081
334.0	0.1051
335.0	0.1025
336.0	0.1002
337.0	0.0980
338.0	0.0961
339.0	0.0943
340.0	0.0927
341.0	0.0912
342.0	0.0901
343.0	0.0889
344.0	0.0880
345.0	0.0872
346.0	0.0867
347.0	0.0861
348.0	0.0859
349.0	0.0859
350.0	0.0864
351.0	0.0865
352.0	0.0867
353.0	0.0870
354.0	0.0876
355.0	0.0883
356.0	0.0890
357.0	0.0898
358.0	0.0909
359.0	0.0920
360.0	0.0933
361.0	0.0947
362.0	0.0961
363.0	0.0976
364.0	0.0993
365.0	0.1011
366.0	0.1029
367.0	0.1048
368.0	0.1071
369.0	0.1094
370.0	0.1120
371.0	0.1145
372.0	0.1175
373.0	0.1204
374.0	0.1236
375.0	0.1268
376.0	0.1302
377.0	0.1339
378.0	0.1377
379.0	0.1419
380.0	0.1465
381.0	0.1511
382.0	0.1556
383.0	0.1603
384.0	0.1652
385.0	0.1702
386.0	0.1753
387.0	0.1807
388.0	0.1863
389.0	0.1918
390.0	0.1977
391.0	0.2036
392.0	0.2098
393.0	0.2160
394.0	0.2225
395.0	0.2292
396.0	0.2363
397.0	0.2435
398.0	0.2508
399.0	0.2586
400.0	0.2664
401.0	0.2745
402.0	0.2825
403.0	0.2908
404.0	0.2992
405.0	0.3077
406.0	0.3162
407.0	0.3247
408.0	0.3331
409.0	0.3409
410.0	0.3483
411.0	0.3550
412.0	0.3616
413.0	0.3680
414.0	0.3745
415.0	0.3810
416.0	0.3876
417.0	0.3946
418.0	0.4021
419.0	0.4098
420.0	0.4176
421.0	0.4259
422.0	0.4344
423.0	0.4433
424.0	0.4527
425.0	0.4625
426.0	0.4724
427.0	0.4822
428.0	0.4916
429.0	0.5008
430.0	0.5092
431.0	0.5168
432.0	0.5232
433.0	0.5285
434.0	0.5326
435.0	0.5355
436.0	0.5373
437.0	0.5376
438.0	0.5369
439.0	0.5356
440.0	0.5340
441.0	0.5323
442.0	0.5306
443.0	0.5295
444.0	0.5292
445.0	0.5299
446.0	0.5313
447.0	0.5334
448.0	0.5364
449.0	0.5402
450.0	0.5445
451.0	0.5488
452.0	0.5531
453.0	0.5574
454.0	0.5617
455.0	0.5653
456.0	0.5680
457.0	0.5693
458.0	0.5689
459.0	0.5661
460.0	0.5610
461.0	0.5535
462.0	0.5434
463.0	0.5308
464.0	0.5153
465.0	0.4973
466.0	0.4775
467.0	0.4565
468.0	0.4347
469.0	0.4129
470.0	0.3917
471.0	0.3713
472.0	0.3515
473.0	0.3328
474.0	0.3155
475.0	0.3003
476.0	0.2867
477.0	0.2749
478.0	0.2645
479.0	0.2559
480.0	0.2490
481.0	0.2432
482.0	0.2384
483.0	0.2344
484.0	0.2311
485.0	0.2283
486.0	0.2258
487.0	0.2234
488.0	0.2210
489.0	0.2183
490.0	0.2153
491.0	0.2116
492.0	0.2073
493.0	0.2025
494.0	0.1969
495.0	0.1906
496.0	0.1837
497.0	0.1765
498.0	0.1690
499.0	0.1613
500.0	0.1536
501.0	0.1462
502.0	0.1388
503.0	0.1318
504.0	0.1250
505.0	0.1186
506.0	0.1127
507.0	0.1072
508.0	0.1024
509.0	0.0980
510.0	0.0941
511.0	0.0905
512.0	0.0873
513.0	0.0844
514.0	0.0817
515.0	0.0790
516.0	0.0765
517.0	0.0742
518.0	0.0721
519.0	0.0701
520.0	0.0682
521.0	0.0664
522.0	0.0647
523.0	0.0633
524.0	0.0618
525.0	0.0605
526.0	0.0592
527.0	0.0579
528.0	0.0567
529.0	0.0555
530.0	0.0542
531.0	0.0531
532.0	0.0520
533.0	0.0511
534.0	0.0502
535.0	0.0493
536.0	0.0485
537.0	0.0478
538.0	0.0471
539.0	0.0465
540.0	0.0458
541.0	0.0451
542.0	0.0446
543.0	0.0441
544.0	0.0436
545.0	0.0430
546.0	0.0426
547.0	0.0422
