'h2o_AS15.2.spc - RawData'
'Wavelength nm.'	'Abs.'
310.0	0.3718
311.0	0.3334
312.0	0.3005
313.0	0.2715
314.0	0.2467
315.0	0.2254
316.0	0.2074
317.0	0.1921
318.0	0.1787
319.0	0.1670
320.0	0.1570
321.0	0.1486
322.0	0.1413
323.0	0.1351
324.0	0.1297
325.0	0.1250
326.0	0.1211
327.0	0.1173
328.0	0.1140
329.0	0.1108
330.0	0.1082
331.0	0.1057
332.0	0.1035
333.0	0.1013
334.0	0.0993
335.0	0.0975
336.0	0.0958
337.0	0.0941
338.0	0.0923
339.0	0.0907
340.0	0.0891
341.0	0.0878
342.0	0.0867
343.0	0.0857
344.0	0.0849
345.0	0.0842
346.0	0.0836
347.0	0.0828
348.0	0.0823
349.0	0.0819
350.0	0.0819
351.0	0.0818
352.0	0.0817
353.0	0.0817
354.0	0.0818
355.0	0.0821
356.0	0.0822
357.0	0.0826
358.0	0.0829
359.0	0.0833
360.0	0.0837
361.0	0.0843
362.0	0.0849
363.0	0.0855
364.0	0.0861
365.0	0.0868
366.0	0.0875
367.0	0.0884
368.0	0.0896
369.0	0.0909
370.0	0.0924
371.0	0.0941
372.0	0.0959
373.0	0.0977
374.0	0.0997
375.0	0.1019
376.0	0.1043
377.0	0.1070
378.0	0.1097
379.0	0.1127
380.0	0.1159
381.0	0.1193
382.0	0.1227
383.0	0.1262
384.0	0.1298
385.0	0.1336
386.0	0.1375
387.0	0.1416
388.0	0.1459
389.0	0.1503
390.0	0.1550
391.0	0.1599
392.0	0.1649
393.0	0.1700
394.0	0.1753
395.0	0.1809
396.0	0.1867
397.0	0.1926
398.0	0.1989
399.0	0.2058
400.0	0.2126
401.0	0.2195
402.0	0.2262
403.0	0.2334
404.0	0.2407
405.0	0.2481
406.0	0.2557
407.0	0.2635
408.0	0.2714
409.0	0.2789
410.0	0.2861
411.0	0.2929
412.0	0.2998
413.0	0.3067
414.0	0.3138
415.0	0.3213
416.0	0.3290
417.0	0.3371
418.0	0.3456
419.0	0.3546
420.0	0.3636
421.0	0.3731
422.0	0.3828
423.0	0.3931
424.0	0.4036
425.0	0.4142
426.0	0.4249
427.0	0.4355
428.0	0.4460
429.0	0.4563
430.0	0.4659
431.0	0.4748
432.0	0.4826
433.0	0.4897
434.0	0.4960
435.0	0.5016
436.0	0.5068
437.0	0.5112
438.0	0.5151
439.0	0.5189
440.0	0.5228
441.0	0.5271
442.0	0.5318
443.0	0.5373
444.0	0.5434
445.0	0.5502
446.0	0.5577
447.0	0.5659
448.0	0.5745
449.0	0.5835
450.0	0.5927
451.0	0.6015
452.0	0.6103
453.0	0.6189
454.0	0.6276
455.0	0.6354
456.0	0.6420
457.0	0.6471
458.0	0.6502
459.0	0.6511
460.0	0.6497
461.0	0.6462
462.0	0.6404
463.0	0.6328
464.0	0.6231
465.0	0.6120
466.0	0.6001
467.0	0.5880
468.0	0.5759
469.0	0.5642
470.0	0.5536
471.0	0.5441
472.0	0.5357
473.0	0.5283
474.0	0.5224
475.0	0.5180
476.0	0.5149
477.0	0.5129
478.0	0.5119
479.0	0.5118
480.0	0.5125
481.0	0.5137
482.0	0.5149
483.0	0.5162
484.0	0.5174
485.0	0.5183
486.0	0.5183
