'toluene_AS15.2.spc - RawData'
'Wavelength nm.'	'Abs.'
310.0	1.2164
311.0	1.0959
312.0	0.9910
313.0	0.8956
314.0	0.8088
315.0	0.7292
316.0	0.6559
317.0	0.5884
318.0	0.5241
319.0	0.4646
320.0	0.4111
321.0	0.3643
322.0	0.3246
323.0	0.2912
324.0	0.2636
325.0	0.2415
326.0	0.2243
327.0	0.2104
328.0	0.1994
329.0	0.1901
330.0	0.1829
331.0	0.1763
332.0	0.1707
333.0	0.1658
334.0	0.1617
335.0	0.1583
336.0	0.1551
337.0	0.1526
338.0	0.1500
339.0	0.1480
340.0	0.1462
341.0	0.1448
342.0	0.1436
343.0	0.1424
344.0	0.1415
345.0	0.1405
346.0	0.1394
347.0	0.1381
348.0	0.1367
349.0	0.1351
350.0	0.1336
351.0	0.1320
352.0	0.1305
353.0	0.1288
354.0	0.1273
355.0	0.1258
356.0	0.1244
357.0	0.1233
358.0	0.1222
359.0	0.1214
360.0	0.1205
361.0	0.1199
362.0	0.1193
363.0	0.1188
364.0	0.1180
365.0	0.1172
366.0	0.1162
367.0	0.1152
368.0	0.1141
369.0	0.1129
370.0	0.1115
371.0	0.1100
372.0	0.1086
373.0	0.1071
374.0	0.1056
375.0	0.1043
376.0	0.1030
377.0	0.1019
378.0	0.1008
379.0	0.1001
380.0	0.0998
381.0	0.0996
382.0	0.0994
383.0	0.0992
384.0	0.0990
385.0	0.0989
386.0	0.0989
387.0	0.0988
388.0	0.0986
389.0	0.0985
390.0	0.0986
391.0	0.0986
392.0	0.0988
393.0	0.0989
394.0	0.0993
395.0	0.0998
396.0	0.1005
397.0	0.1014
398.0	0.1026
399.0	0.1041
400.0	0.1056
401.0	0.1071
402.0	0.1088
403.0	0.1105
404.0	0.1122
405.0	0.1138
406.0	0.1152
407.0	0.1165
408.0	0.1173
409.0	0.1178
410.0	0.1179
411.0	0.1176
412.0	0.1170
413.0	0.1162
414.0	0.1153
415.0	0.1145
416.0	0.1138
417.0	0.1135
418.0	0.1134
419.0	0.1135
420.0	0.1139
421.0	0.1146
422.0	0.1156
423.0	0.1169
424.0	0.1186
425.0	0.1205
426.0	0.1226
427.0	0.1245
428.0	0.1264
429.0	0.1281
430.0	0.1294
431.0	0.1301
432.0	0.1299
433.0	0.1289
434.0	0.1269
435.0	0.1241
436.0	0.1203
437.0	0.1159
438.0	0.1106
439.0	0.1051
440.0	0.0995
441.0	0.0939
442.0	0.0884
443.0	0.0832
444.0	0.0786
445.0	0.0747
446.0	0.0712
447.0	0.0681
448.0	0.0654
449.0	0.0631
450.0	0.0611
451.0	0.0595
452.0	0.0581
453.0	0.0571
454.0	0.0561
455.0	0.0553
456.0	0.0546
457.0	0.0540
458.0	0.0535
459.0	0.0531
460.0	0.0527
461.0	0.0523
462.0	0.0519
463.0	0.0517
464.0	0.0515
465.0	0.0512
466.0	0.0510
467.0	0.0508
468.0	0.0507
469.0	0.0506
470.0	0.0505
471.0	0.0503
472.0	0.0501
473.0	0.0498
474.0	0.0497
475.0	0.0497
