Item,Smu1_V(1)(1),Smu1_I(1)(1),Smu2_V(1)(1),Smu2_I(1)(1),
1,-5,-2.96916606856712E-08,10,2.99372686640709E-08,
2,-4.55000019073486,-3.03157463577008E-08,10,3.13862074108329E-08,
3,-4.09999990463257,-2.79347425191645E-08,10,2.95113800063973E-08,
4,-3.65000009536743,-2.58690953103269E-08,10,2.80398726459907E-08,
5,-3.20000004768372,-2.41274129564317E-08,10,2.74241571673883E-08,
6,-2.75,-2.4249553476352E-08,10,2.63072728046154E-08,
7,-2.29999995231628,-2.39586235295519E-08,10,2.52331506800374E-08,
8,-1.85000002384186,-2.26075531628567E-08,10,2.33487487122375E-08,
9,-1.39999997615814,-2.11526387516869E-08,10,2.18423252817956E-08,
10,-0.949999988079071,-1.9278788343513E-08,10,1.99957845836707E-08,
11,-0.5,-1.74727556867538E-08,10,1.82687873717668E-08,
12,-0.0500000007450581,-1.53526791280001E-08,10,1.60669326731977E-08,
13,0.400000005960464,-1.34052395850404E-08,10,1.42777922818027E-08,
14,0.850000023841858,-1.1479115435975E-08,10,1.27712729280915E-08,
15,1.29999995231628,-1.36456010935149E-08,10,1.11290816562359E-08,
16,1.75,-1.31984831952536E-08,10,1.08824496081183E-08,
17,2.20000004768372,-1.19318483982056E-08,10,1.0167252817439E-08,
18,2.65000009536743,-1.08618145588935E-08,10,1.07895257173141E-08,
19,3.09999990463257,-9.21159060141008E-09,10,9.14583164757232E-09,
20,3.54999995231628,-7.7385635677274E-09,10,7.7325852387844E-09,
21,4,-6.16094464334083E-09,10,6.17752915488268E-09,
22,4.44999980926514,-4.80582951212227E-09,10,4.80423567594812E-09,
23,4.90000009536743,-3.51720697011615E-09,10,3.53952289700032E-09,
24,5.34999990463257,-2.50801091006281E-09,10,2.53504861547071E-09,
25,5.80000019073486,-1.33321875761538E-09,10,1.63359159532916E-09,
26,6.25,-6.15823225746936E-10,10,6.65598964832981E-10,
27,6.69999980926514,-2.89171103728947E-10,10,3.38759187368254E-10,
28,7.15000009536743,-1.26962065860603E-10,10,1.71721331598818E-10,
29,7.59999990463257,-2.60201339641331E-11,10,1.38985517539325E-10,
30,8.05000019073486,1.63881777072439E-12,10,5.37410636824998E-11,
31,8.5,1.43425826770738E-11,10,2.62219673058395E-11,
32,8.94999980926514,2.72613407542588E-11,10,1.34729033485215E-11,
33,9.39999961853027,3.74100334044059E-11,10,5.10686631871593E-12,
34,9.85000038146973,4.62653283739289E-11,10,-1.1949062616104E-12,
