Item,Smu1_Time(1)(1),Smu1_V(1)(1),Smu1_I(1)(1),Smu2_Time(1)(1),Smu2_V(1)(1),Smu2_I(1)(1),
1,0,20,1.79097414676477E-09,0,-10,-1.62889597643545E-11,
2,3.095472,20,2.09740047552032E-09,1.22005,-9.5,-7.89055799865768E-12,
3,4.315521,20,2.11528528026861E-09,2.440099,-9,-5.13056524348299E-12,
4,5.53557,20,2.19026796699495E-09,3.660148,-8.5,-2.88925177185928E-12,
5,6.755619,20,2.20939155859412E-09,4.880197,-8,-1.29166837815886E-12,
6,7.975668,20,2.20848561660603E-09,6.100246,-7.5,-8.98766521276184E-13,
7,9.195717,20,2.26843588357895E-09,7.320295,-7,-3.88503079262314E-14,
8,10.415766,20,2.29486230018949E-09,8.540344,-6.5,5.7840349534672E-14,
9,11.635815,20,2.2665584964443E-09,9.760393,-6,2.18522547062658E-13,
10,12.855864,20,2.33853447717536E-09,10.980442,-5.5,5.98049170949522E-13,
11,14.075913,20,2.35504749035442E-09,12.200491,-5,-3.27217582456879E-13,
12,15.295962,20,2.38949771080854E-09,13.42054,-4.5,6.90984758560526E-13,
13,16.516011,20,2.40859976408103E-09,14.640589,-4,1.32031440901875E-12,
14,17.73606,20,2.42400521877073E-09,15.860638,-3.5,1.36175153184898E-12,
15,18.956113,20,2.44732145660009E-09,17.080691,-3,9.13858398676748E-13,
16,20.176162,20,2.4894128980435E-09,18.30074,-2.5,1.69826750318763E-12,
17,21.396211,20,2.5268018788438E-09,19.5213,-2,2.07397944304577E-12,
18,22.616772,20,2.55093923762217E-09,20.74135,-1.5,2.44307525598675E-12,
19,23.836821,20,2.57200238884536E-09,21.961399,-1,2.11371176637998E-12,
20,25.05687,20,2.55108822955208E-09,23.181448,-0.5,1.56499151745398E-12,
21,26.276919,20,2.6380038153917E-09,24.402118,0,2.53336436030482E-12,
22,27.49759,20,2.63765564945118E-09,25.622679,0.5,2.08461286427264E-12,
23,28.71815,20,2.69173972000658E-09,26.842728,1,2.39156481077196E-12,
24,29.938199,20,2.68706568107291E-09,28.062777,1.5,2.6975513836569E-12,
25,31.158248,20,2.72662403766333E-09,29.282826,2,2.46909849337118E-12,
26,32.378297,20,2.73941047623794E-09,30.503776,2.5,1.45814426071728E-12,
27,33.599247,20,2.74446843029352E-09,31.723829,3,8.79191164315785E-12,
28,34.8193,20,2.79336331843183E-09,32.943878,3.5,1.09815958410087E-11,
29,36.039353,20,2.84411316719968E-09,34.163927,4,-1.05179547797013E-12,
30,37.259398,20,2.82725931555206E-09,35.383976,4.5,-1.96913492456208E-12,
31,38.479448,20,3.01528690904718E-09,36.604026,5,8.29062513085788E-12,
32,39.699497,20,2.90576207540028E-09,37.824075,5.5,-1.12451313451917E-12,
33,40.919546,20,2.94989943583346E-09,39.044124,6,-2.60591515813952E-14,
34,42.139595,20,2.98058866476936E-09,40.264173,6.5,6.08265391180418E-13,
35,43.359644,20,3.02661407047822E-09,41.484222,7,8.71980222402757E-13,
36,44.579693,20,3.03213476549047E-09,42.704271,7.5,1.39836070240512E-12,
37,45.799742,20,3.08395509129866E-09,43.92432,8,3.83492716748979E-12,
38,47.019791,20,3.09816128307716E-09,45.144369,8.5,2.82013410020376E-12,
39,48.23984,20,3.15189474520139E-09,46.364418,9,2.69218696814788E-12,
40,49.459889,20,3.17395931759279E-09,47.584467,9.5,2.84384495119472E-12,
41,50.679939,20,3.2157219109763E-09,48.80452,10,3.25927739658338E-12,
42,51.899991,20,3.24169868726187E-09,50.024569,10.5,3.8866162892226E-12,
43,53.120044,20,3.27365867747176E-09,51.244618,11,3.45342157648254E-12,
44,54.340089,20,3.28940275018397E-09,52.464667,11.5,3.84080397694553E-12,
45,55.560138,20,3.3689022682637E-09,53.684716,12,3.57065202058471E-12,
46,56.780187,20,3.37606431699555E-09,54.904765,12.5,2.50219584635447E-11,
47,58.000236,20,3.45592265915684E-09,56.124814,13,1.63586136824045E-12,
48,59.220285,20,3.48274942219007E-09,57.344863,13.5,3.0961155948056E-12,
49,60.440334,20,3.49356876760965E-09,58.564912,14,3.50059282776261E-12,
50,61.660383,20,3.5507929929679E-09,59.784961,14.5,2.22374202385467E-12,
51,62.880432,20,3.56279850066699E-09,61.00501,15,3.69484434367684E-12,
52,64.100481,20,3.60664254017706E-09,62.225059,15.5,3.42921025776877E-12,
53,65.32053,20,3.68158570296373E-09,63.445108,16,3.14177286617201E-12,
54,66.540579,20,3.69120245480303E-09,64.665157,16.5,5.73477767010222E-12,
55,67.760629,20,3.71586450498285E-09,65.885211,17,3.10618891719017E-12,
56,68.980682,20,3.75552655640377E-09,67.10526,17.5,4.37314507523157E-12,
57,70.200735,20,3.78249298549349E-09,68.325309,18,4.0434717206439E-12,
58,71.42078,20,3.8368930255217E-09,69.545358,18.5,4.2386294127339E-12,
59,72.64083,20,3.87201071205823E-09,70.765408,19,4.35875641136008E-12,
60,73.860879,20,3.90076770884207E-09,71.985457,19.5,1.0551845855411E-11,
61,75.080928,20,3.99711952425719E-09,73.205506,20,2.17532884067007E-11,
62,76.300977,20,4.06036271272114E-09,74.429164,20.5,-4.38805805927367E-12,
63,77.524635,20,4.05152800198039E-09,75.649213,21,1.39192823933598E-11,
64,78.744684,20,4.09543510215826E-09,76.869262,21.5,-1.63625831633984E-11,
65,79.964733,20,4.14800416237426E-09,78.089311,22,8.62560283615421E-12,
66,81.184782,20,4.15202139336657E-09,79.30936,22.5,1.59330604265762E-11,
67,82.404831,20,4.19736245760305E-09,80.529409,23,2.34292030221184E-11,
68,83.62488,20,4.22785406684056E-09,81.749462,23.5,9.7138642615735E-12,
69,84.844933,20,4.2186449888959E-09,82.969511,24,-7.14803953874577E-12,
70,86.064982,20,4.2013681422759E-09,84.18956,24.5,1.46730787242699E-11,
71,87.285035,20,4.42398651046005E-09,85.409609,25,6.3139441591753E-12,
72,88.50508,20,4.29998614492888E-09,86.629658,25.5,2.27366684507624E-11,
73,89.725129,20,4.37829239530174E-09,87.849707,26,-3.32381734982623E-12,
74,90.945178,20,4.43699699204103E-09,89.069756,26.5,1.64699552824069E-13,
75,92.165227,20,4.46070913540098E-09,90.289805,27,2.50066525646353E-12,
76,93.385277,20,4.52191484257014E-09,91.509855,27.5,2.82219646957627E-12,
77,94.605326,20,4.56326976205901E-09,92.729904,28,3.60168232044211E-12,
78,95.825375,20,4.63736782307933E-09,93.949953,28.5,3.50457445182084E-12,
79,97.045424,20,4.67023841821401E-09,95.170002,29,4.06692041154955E-12,
80,98.265473,20,4.73266936751315E-09,96.390051,29.5,5.56451109148814E-12,
81,99.485522,20,4.69038008432676E-09,97.6101,30,3.94395583899754E-12,
82,100.705571,20,4.75705874691812E-09,98.830153,30.5,4.58346598522508E-12,
83,101.925624,20,4.78047246232904E-09,100.050202,31,4.19203040336047E-12,
84,103.145673,20,4.81438888755292E-09,101.270251,31.5,4.75890637660625E-12,
85,104.365726,20,4.88407714271943E-09,102.4903,32,5.94843618806351E-12,
86,105.585771,20,4.86238693753194E-09,103.710349,32.5,5.95631616945314E-12,
87,106.80582,20,4.95168306358096E-09,104.930398,33,5.07076975894694E-12,
88,108.025869,20,4.94130825146044E-09,106.150447,33.5,5.23687603698475E-12,
89,109.245918,20,5.0057957778904E-09,107.370496,34,5.4167269628036E-12,
90,110.465967,20,5.04623764996381E-09,108.590545,34.5,5.67784317825892E-12,
91,111.686016,20,5.03586639055698E-09,109.810594,35,4.9065352475397E-12,
92,112.906065,20,5.09100805956564E-09,111.030643,35.5,5.3785561074382E-12,
93,114.126114,20,5.138399483684E-09,112.250692,36,6.30882976068725E-12,
94,115.346164,20,5.17822362766651E-09,113.470742,36.5,5.73513502313827E-12,
95,116.566213,20,5.20334708653536E-09,114.690791,37,7.20628504785603E-12,
96,117.786262,20,5.23332932544918E-09,115.910844,37.5,5.38514961789804E-11,
97,119.006315,20,5.25802956730104E-09,117.130893,38,-9.1979505609241E-12,
98,120.226364,20,5.25741805645907E-09,118.350942,38.5,-4.20057781960748E-12,
99,121.446417,20,5.37079225537695E-09,119.570991,39,-1.04291445271465E-12,
100,122.666462,20,5.31966914962823E-09,120.79104,39.5,2.2227764062948E-13,
101,123.886511,20,5.41246070184798E-09,122.011089,40,2.30814217565267E-12,
