S120VC Responsivity	
Wavelength (nm)	Responsivity (mA/W)
200.00	6.39
205.00	6.39
210.00	6.38
215.00	6.36
220.00	6.29
225.00	6.15
230.00	6.16
235.00	6.26
240.00	6.22
245.00	6.11
250.00	6.00
255.00	5.91
260.00	5.84
265.00	5.79
270.00	5.80
275.00	6.05
280.00	6.56
285.00	7.28
290.00	8.18
295.00	9.25
300.00	10.28
305.00	11.16
310.00	11.92
315.00	12.66
320.00	13.28
325.00	13.90
330.00	14.40
335.00	14.90
340.00	15.35
345.00	15.70
350.00	16.23
355.00	16.28
360.00	16.33
365.00	16.39
370.00	16.66
375.00	17.27
380.00	18.04
385.00	18.77
390.00	19.43
395.00	20.02
400.00	20.56
405.00	21.05
410.00	21.48
415.00	21.86
420.00	22.22
425.00	22.56
430.00	22.88
435.00	23.18
440.00	23.46
445.00	23.71
450.00	23.95
455.00	24.19
460.00	24.42
465.00	24.64
470.00	24.85
475.00	25.06
480.00	25.27
485.00	25.47
490.00	25.66
495.00	25.87
500.00	26.08
505.00	26.27
510.00	26.45
515.00	26.62
520.00	26.80
525.00	26.98
530.00	27.14
535.00	27.30
540.00	27.47
545.00	27.67
550.00	27.88
555.00	28.04
560.00	28.18
565.00	28.33
570.00	28.48
575.00	28.63
580.00	28.77
585.00	28.92
590.00	29.07
595.00	29.20
600.00	29.33
605.00	29.46
610.00	29.59
615.00	29.73
620.00	29.87
625.00	30.01
630.00	30.14
635.00	30.27
640.00	30.41
645.00	30.54
650.00	30.68
655.00	30.82
660.00	30.96
665.00	31.09
670.00	31.23
675.00	31.37
680.00	31.51
685.00	31.66
690.00	31.81
695.00	31.97
700.00	32.14
705.00	32.32
710.00	32.49
715.00	32.67
720.00	32.86
725.00	33.07
730.00	33.27
735.00	33.48
740.00	33.69
745.00	33.91
750.00	34.13
755.00	34.34
760.00	34.56
765.00	34.78
770.00	35.01
775.00	35.24
780.00	35.47
785.00	35.69
790.00	35.92
795.00	36.15
800.00	36.38
805.00	36.61
810.00	36.84
815.00	37.07
820.00	37.31
825.00	37.55
830.00	37.79
835.00	38.04
840.00	38.28
845.00	38.52
850.00	38.76
855.00	39.01
860.00	39.26
865.00	39.50
870.00	39.75
875.00	39.99
880.00	40.24
885.00	40.49
890.00	40.73
895.00	40.95
900.00	41.19
905.00	41.44
910.00	41.71
915.00	41.95
920.00	42.18
925.00	42.42
930.00	42.65
935.00	42.86
940.00	43.06
945.00	43.24
950.00	43.41
955.00	43.55
960.00	43.66
965.00	43.70
970.00	43.68
975.00	43.59
980.00	43.41
985.00	43.12
990.00	42.72
995.00	42.19
1000.00	41.51
1005.00	40.64
1010.00	39.58
1015.00	38.32
1020.00	36.85
1025.00	35.15
1030.00	33.27
1035.00	31.21
1040.00	29.01
1045.00	26.70
1050.00	24.29
1055.00	21.84
1060.00	19.50
1065.00	17.44
1070.00	15.68
1075.00	14.21
1080.00	12.91
1085.00	11.67
1090.00	10.50
1095.00	9.43
1100.00	8.41
