S130VC Responsivity		
Wavelength (nm)	Responsivity (mA/W)	Responsivity with ND Filter (mA/W)
200.00	79.12	0.33
205.00	82.28	0.48
210.00	85.27	0.60
215.00	87.91	0.69
220.00	90.52	0.74
225.00	94.92	0.79
230.00	101.74	0.83
235.00	109.26	0.87
240.00	111.70	0.89
245.00	109.92	0.91
250.00	107.24	0.93
255.00	104.34	0.98
260.00	101.37	1.01
265.00	98.49	1.07
270.00	96.36	1.14
275.00	97.86	1.29
280.00	103.55	1.48
285.00	110.79	1.74
290.00	119.33	2.05
295.00	129.44	2.48
300.00	137.77	2.87
305.00	143.42	3.25
310.00	147.21	3.52
315.00	150.05	3.85
320.00	152.27	4.02
325.00	154.20	4.34
330.00	155.87	4.56
335.00	157.27	4.74
340.00	158.46	4.90
345.00	159.09	5.04
350.00	160.65	5.14
355.00	158.45	5.26
360.00	156.17	5.28
365.00	154.21	5.30
370.00	154.98	5.39
375.00	160.37	5.60
380.00	168.39	5.86
385.00	176.52	6.12
390.00	184.20	6.35
395.00	191.36	6.56
400.00	198.00	6.75
405.00	204.13	6.92
410.00	209.81	7.06
415.00	215.11	7.19
420.00	220.11	7.31
425.00	224.87	7.41
430.00	229.39	7.51
435.00	233.67	7.60
440.00	237.79	7.68
445.00	241.81	7.76
450.00	245.73	7.83
455.00	249.58	7.90
460.00	253.33	7.97
465.00	256.98	8.03
470.00	260.52	8.09
475.00	263.96	8.15
480.00	267.41	8.22
485.00	270.94	8.28
490.00	274.47	8.34
495.00	277.86	8.40
500.00	281.11	8.46
505.00	284.26	8.51
510.00	287.40	8.57
515.00	290.62	8.62
520.00	293.83	8.68
525.00	296.93	8.74
530.00	299.99	8.79
535.00	303.10	8.85
540.00	306.24	8.90
545.00	309.36	8.95
550.00	312.39	9.01
555.00	315.32	9.05
560.00	318.22	9.10
565.00	321.18	9.15
570.00	324.16	9.20
575.00	327.09	9.25
580.00	330.02	9.30
585.00	332.97	9.35
590.00	335.94	9.40
595.00	338.88	9.45
600.00	341.80	9.50
605.00	344.68	9.55
610.00	347.56	9.60
615.00	350.44	9.65
620.00	353.31	9.69
625.00	356.15	9.74
630.00	358.98	9.80
635.00	361.82	9.85
640.00	364.67	9.90
645.00	367.52	9.96
650.00	370.35	10.01
655.00	373.14	10.06
660.00	375.97	10.12
665.00	378.89	10.18
670.00	381.78	10.24
675.00	384.56	10.29
680.00	387.28	10.35
685.00	390.03	10.41
690.00	392.83	10.48
695.00	395.66	10.55
700.00	398.49	10.62
705.00	401.28	10.69
710.00	404.03	10.77
715.00	406.73	10.84
720.00	409.42	10.92
725.00	412.13	11.00
730.00	414.85	11.09
735.00	417.60	11.18
740.00	420.34	11.27
745.00	423.08	11.36
750.00	425.81	11.45
755.00	428.55	11.55
760.00	431.32	11.65
765.00	434.10	11.74
770.00	436.91	11.84
775.00	439.72	11.95
780.00	442.51	12.05
785.00	445.26	12.15
790.00	448.01	12.25
795.00	450.83	12.36
800.00	453.63	12.47
805.00	456.31	12.57
810.00	458.97	12.68
815.00	461.69	12.78
820.00	464.43	12.89
825.00	467.14	13.00
830.00	469.86	13.11
835.00	472.63	13.22
840.00	475.40	13.33
845.00	478.11	13.44
850.00	480.76	13.55
855.00	483.41	13.66
860.00	486.10	13.77
865.00	488.89	13.89
870.00	491.65	14.00
875.00	494.30	14.11
880.00	496.91	14.21
885.00	499.57	14.32
890.00	502.22	14.43
895.00	504.80	14.54
900.00	507.39	14.65
905.00	510.06	14.75
910.00	512.72	14.85
915.00	515.32	14.95
920.00	517.88	15.05
925.00	520.44	15.15
930.00	522.96	15.25
935.00	525.38	15.34
940.00	527.71	15.43
945.00	530.00	15.52
950.00	532.26	15.61
955.00	534.49	15.70
960.00	536.48	15.78
965.00	538.08	15.84
970.00	539.34	15.90
975.00	540.35	15.95
980.00	541.00	15.99
985.00	541.15	16.01
990.00	540.72	16.02
995.00	539.59	16.00
1000.00	537.56	15.96
1005.00	534.35	15.88
1010.00	529.67	15.77
1015.00	523.21	15.60
1020.00	514.81	15.39
1025.00	504.34	15.11
1030.00	491.78	14.79
1035.00	477.13	14.41
1040.00	460.21	13.98
1045.00	440.78	13.47
1050.00	418.26	12.88
1055.00	392.68	12.20
1060.00	366.69	11.51
1065.00	342.91	10.87
1070.00	321.33	10.28
1075.00	301.21	9.72
1080.00	281.75	9.17
1085.00	262.30	8.60
1090.00	243.06	8.03
1095.00	224.32	7.46
1100.00	205.90	6.90
