IRF_5Mhz1.ptu	 	p62-100_5MHz_2_OTCSPC; OverallDecay	 	Fitted Curve	 	Residuals	 
Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Intensity[Cnts]	Time[ns]	Resids.[StdDev.]
0	1	0.249999992929518	1	0.249999992929518	---	0.249999992929518	---
0.249999992929518	12	0.499999985859036	2	0.499999985859036	---	0.499999985859036	---
0.499999985859036	7	0.749999978788553	3	0.749999978788553	---	0.749999978788553	---
0.749999978788553	13	0.999999971718071	3	0.999999971718071	---	0.999999971718071	---
0.999999971718071	16	1.24999996464759	3	1.24999996464759	---	1.24999996464759	---
1.24999996464759	14	1.49999995757711	7	1.49999995757711	---	1.49999995757711	---
1.49999995757711	13	1.74999995050662	4	1.74999995050662	---	1.74999995050662	---
1.74999995050662	15	1.99999994343614	6	1.99999994343614	---	1.99999994343614	---
1.99999994343614	10	2.24999993636566	2	2.24999993636566	---	2.24999993636566	---
2.24999993636566	15	2.49999992929518	4	2.49999992929518	---	2.49999992929518	---
2.49999992929518	9	2.7499999222247	4	2.7499999222247	---	2.7499999222247	---
2.7499999222247	16	2.99999991515421	4	2.99999991515421	---	2.99999991515421	---
2.99999991515421	6	3.24999990808373	6	3.24999990808373	---	3.24999990808373	---
3.24999990808373	11	3.49999990101325	4	3.49999990101325	---	3.49999990101325	---
3.49999990101325	10	3.74999989394277	5	3.74999989394277	---	3.74999989394277	---
3.74999989394277	14	3.99999988687229	5	3.99999988687229	---	3.99999988687229	---
3.99999988687229	11	4.2499998798018	1	4.2499998798018	---	4.2499998798018	---
4.2499998798018	12	4.49999987273132	6	4.49999987273132	---	4.49999987273132	---
4.49999987273132	10	4.74999986566084	4	4.74999986566084	---	4.74999986566084	---
4.74999986566084	12	4.99999985859036	1	4.99999985859036	---	4.99999985859036	---
4.99999985859036	7	5.24999985151988	0	5.24999985151988	---	5.24999985151988	---
5.24999985151988	9	5.49999984444939	1	5.49999984444939	---	5.49999984444939	---
5.49999984444939	10	5.74999983737891	1	5.74999983737891	---	5.74999983737891	---
5.74999983737891	9	5.99999983030843	6	5.99999983030843	---	5.99999983030843	---
5.99999983030843	10	6.24999982323795	9	6.24999982323795	---	6.24999982323795	---
6.24999982323795	15	6.49999981616746	1	6.49999981616746	---	6.49999981616746	---
6.49999981616746	5	6.74999980909698	4	6.74999980909698	---	6.74999980909698	---
6.74999980909698	14	6.9999998020265	3	6.9999998020265	---	6.9999998020265	---
6.9999998020265	7	7.24999979495602	4	7.24999979495602	---	7.24999979495602	---
7.24999979495602	15	7.49999978788553	3	7.49999978788553	---	7.49999978788553	---
7.49999978788553	9	7.74999978081505	5	7.74999978081505	---	7.74999978081505	---
7.74999978081505	11	7.99999977374457	7	7.99999977374457	---	7.99999977374457	---
7.99999977374457	11	8.24999976667409	1	8.24999976667409	---	8.24999976667409	---
8.24999976667409	10	8.49999975960361	4	8.49999975960361	---	8.49999975960361	---
8.49999975960361	15	8.74999975253313	4	8.74999975253313	---	8.74999975253313	---
8.74999975253313	13	8.99999974546264	2	8.99999974546264	---	8.99999974546264	---
8.99999974546264	13	9.24999973839216	3	9.24999973839216	---	9.24999973839216	---
9.24999973839216	8	9.49999973132168	2	9.49999973132168	---	9.49999973132168	---
9.49999973132168	9	9.7499997242512	5	9.7499997242512	---	9.7499997242512	---
9.7499997242512	13	9.99999971718071	4	9.99999971718071	---	9.99999971718071	---
9.99999971718071	11	10.2499997101102	1	10.2499997101102	---	10.2499997101102	---
10.2499997101102	9	10.4999997030398	4	10.4999997030398	---	10.4999997030398	---
10.4999997030398	14	10.7499996959693	4	10.7499996959693	---	10.7499996959693	---
10.7499996959693	10	10.9999996888988	7	10.9999996888988	---	10.9999996888988	---
10.9999996888988	9	11.2499996818283	3	11.2499996818283	---	11.2499996818283	---
11.2499996818283	9	11.4999996747578	4	11.4999996747578	---	11.4999996747578	---
11.4999996747578	14	11.7499996676873	2	11.7499996676873	---	11.7499996676873	---
11.7499996676873	17	11.9999996606169	3	11.9999996606169	---	11.9999996606169	---
11.9999996606169	7	12.2499996535464	1	12.2499996535464	---	12.2499996535464	---
12.2499996535464	11	12.4999996464759	6	12.4999996464759	---	12.4999996464759	---
12.4999996464759	11	12.7499996394054	2	12.7499996394054	---	12.7499996394054	---
12.7499996394054	17	12.9999996323349	0	12.9999996323349	---	12.9999996323349	---
12.9999996323349	10	13.2499996252644	2	13.2499996252644	---	13.2499996252644	---
13.2499996252644	16	13.499999618194	3	13.499999618194	---	13.499999618194	---
13.499999618194	9	13.7499996111235	3	13.7499996111235	---	13.7499996111235	---
13.7499996111235	6	13.999999604053	5	13.999999604053	---	13.999999604053	---
13.999999604053	16	14.2499995969825	3	14.2499995969825	---	14.2499995969825	---
14.2499995969825	7	14.499999589912	3	14.499999589912	---	14.499999589912	---
14.499999589912	13	14.7499995828416	4	14.7499995828416	---	14.7499995828416	---
14.7499995828416	10	14.9999995757711	1	14.9999995757711	---	14.9999995757711	---
14.9999995757711	11	15.2499995687006	2	15.2499995687006	---	15.2499995687006	---
15.2499995687006	11	15.4999995616301	4	15.4999995616301	---	15.4999995616301	---
15.4999995616301	15	15.7499995545596	3	15.7499995545596	---	15.7499995545596	---
15.7499995545596	8	15.9999995474891	6	15.9999995474891	---	15.9999995474891	---
15.9999995474891	12	16.2499995404187	2	16.2499995404187	---	16.2499995404187	---
16.2499995404187	12	16.4999995333482	1	16.4999995333482	---	16.4999995333482	---
16.4999995333482	9	16.7499995262777	3	16.7499995262777	---	16.7499995262777	---
16.7499995262777	12	16.9999995192072	2	16.9999995192072	---	16.9999995192072	---
16.9999995192072	10	17.2499995121367	0	17.2499995121367	---	17.2499995121367	---
17.2499995121367	15	17.4999995050662	0	17.4999995050662	---	17.4999995050662	---
17.4999995050662	9	17.7499994979958	6	17.7499994979958	---	17.7499994979958	---
17.7499994979958	13	17.9999994909253	3	17.9999994909253	---	17.9999994909253	---
17.9999994909253	12	18.2499994838548	2	18.2499994838548	---	18.2499994838548	---
18.2499994838548	8	18.4999994767843	16	18.4999994767843	---	18.4999994767843	---
18.4999994767843	11	18.7499994697138	176	18.7499994697138	---	18.7499994697138	---
18.7499994697138	62	18.9999994626434	560	18.9999994626434	---	18.9999994626434	---
18.9999994626434	238	19.2499994555729	719	19.2499994555729	---	19.2499994555729	---
19.2499994555729	175	19.4999994485024	789	19.4999994485024	---	19.4999994485024	---
19.4999994485024	68	19.7499994414319	766	19.7499994414319	---	19.7499994414319	---
19.7499994414319	20	19.9999994343614	675	19.9999994343614	---	19.9999994343614	---
19.9999994343614	17	20.2499994272909	648	20.2499994272909	---	20.2499994272909	---
20.2499994272909	10	20.4999994202205	650	20.4999994202205	---	20.4999994202205	---
20.4999994202205	10	20.74999941315	544	20.74999941315	---	20.74999941315	---
20.74999941315	15	20.9999994060795	523	20.9999994060795	---	20.9999994060795	---
20.9999994060795	12	21.249999399009	524	21.249999399009	---	21.249999399009	---
21.249999399009	10	21.4999993919385	476	21.4999993919385	---	21.4999993919385	---
21.4999993919385	6	21.7499993848681	483	21.7499993848681	---	21.7499993848681	---
21.7499993848681	11	21.9999993777976	453	21.9999993777976	431.912506103516	21.9999993777976	0.990776896476746
21.9999993777976	13	22.2499993707271	433	22.2499993707271	411.895294189453	22.2499993707271	1.01422739028931
22.2499993707271	13	22.4999993636566	402	22.4999993636566	392.878662109375	22.4999993636566	0.454930990934372
22.4999993636566	9	22.7499993565861	379	22.7499993565861	374.799591064453	22.7499993565861	0.215760514140129
22.7499993565861	12	22.9999993495156	327	22.9999993495156	357.629760742188	22.9999993495156	-1.69382965564728
22.9999993495156	5	23.2499993424452	321	23.2499993424452	341.299652099609	23.2499993424452	-1.13301610946655
23.2499993424452	16	23.4999993353747	364	23.4999993353747	325.79443359375	23.4999993353747	2.00251579284668
23.4999993353747	13	23.7499993283042	292	23.7499993283042	311.049163818359	23.7499993283042	-1.11476802825928
23.7499993283042	11	23.9999993212337	292	23.9999993212337	297.026153564453	23.9999993212337	-0.294133394956589
23.9999993212337	14	24.2499993141632	261	24.2499993141632	283.681518554687	24.2499993141632	-1.40395081043243
24.2499993141632	12	24.4999993070927	278	24.4999993070927	271.010101318359	24.4999993070927	0.419226258993149
24.4999993070927	5	24.7499993000223	253	24.7499993000223	258.966247558594	24.7499993000223	-0.375094771385193
24.7499993000223	11	24.9999992929518	249	24.9999992929518	247.497406005859	24.9999992929518	0.0952230244874954
24.9999992929518	12	25.2499992858813	247	25.2499992858813	236.596908569336	25.2499992858813	0.66193288564682
25.2499992858813	10	25.4999992788108	227	25.4999992788108	226.226440429687	25.4999992788108	0.0513429529964924
25.4999992788108	6	25.7499992717403	213	25.7499992717403	216.360488891602	25.7499992717403	-0.230256900191307
25.7499992717403	15	25.9999992646699	220	25.9999992646699	206.966339111328	25.9999992646699	0.878729224205017
25.9999992646699	11	26.2499992575994	201	26.2499992575994	198.035308837891	26.2499992575994	0.209113195538521
26.2499992575994	11	26.4999992505289	179	26.4999992505289	189.530914306641	26.4999992505289	-0.787117481231689
26.4999992505289	8	26.7499992434584	185	26.7499992434584	181.439208984375	26.7499992434584	0.261794567108154
26.7499992434584	8	26.9999992363879	160	26.9999992363879	173.737060546875	26.9999992363879	-1.08600997924805
26.9999992363879	12	27.2499992293174	148	27.2499992293174	166.412216186523	27.2499992293174	-1.51347482204437
27.2499992293174	6	27.499999222247	158	27.499999222247	159.434158325195	27.499999222247	-0.114095509052277
27.499999222247	8	27.7499992151765	167	27.7499992151765	152.780899047852	27.7499992151765	1.10030710697174
27.7499992151765	9	27.999999208106	142	27.999999208106	146.450454711914	27.999999208106	-0.373473852872849
27.999999208106	10	28.2499992010355	152	28.2499992010355	140.417678833008	28.2499992010355	0.939450323581696
28.2499992010355	14	28.499999193965	138	28.499999193965	134.670959472656	28.499999193965	0.283386737108231
28.499999193965	9	28.7499991868946	128	28.7499991868946	129.198867797852	28.7499991868946	-0.105965942144394
28.7499991868946	14	28.9999991798241	146	28.9999991798241	123.981483459473	28.9999991798241	1.82226538658142
28.9999991798241	11	29.2499991727536	128	29.2499991727536	119.004913330078	29.2499991727536	0.795060873031616
29.2499991727536	8	29.4999991656831	112	29.4999991656831	114.264015197754	29.4999991656831	-0.213929325342178
29.4999991656831	14	29.7499991586126	108	29.7499991586126	109.740814208984	29.7499991586126	-0.16750992834568
29.7499991586126	12	29.9999991515421	84	29.9999991515421	105.432151794434	29.9999991515421	-2.33843946456909
29.9999991515421	12	30.2499991444717	124	30.2499991444717	101.324058532715	30.2499991444717	2.03635954856873
30.2499991444717	13	30.4999991374012	84	30.4999991374012	97.4036178588867	30.4999991374012	-1.46245455741882
30.4999991374012	7	30.7499991303307	108	30.7499991303307	93.6612930297852	30.7499991303307	1.37974274158478
30.7499991303307	11	30.9999991232602	94	30.9999991232602	90.0927352905273	30.9999991232602	0.403003573417664
30.9999991232602	9	31.2499991161897	87	31.2499991161897	86.6846160888672	31.2499991161897	0.0338127054274082
31.2499991161897	6	31.4999991091192	96	31.4999991091192	83.4311294555664	31.4999991091192	1.2828049659729
31.4999991091192	15	31.7499991020488	71	31.7499991020488	80.3254623413086	31.7499991020488	-1.10672879219055
31.7499991020488	10	31.9999990949783	69	31.9999990949783	77.3587493896484	31.9999990949783	-1.00627517700195
31.9999990949783	9	32.2499990879078	77	32.2499990879078	74.5261459350586	32.2499990879078	0.281921833753586
32.2499990879078	14	32.4999990808373	60	32.4999990808373	71.8192367553711	32.4999990808373	-1.52585685253143
32.4999990808373	18	32.7499990737668	76	32.7499990737668	69.2334213256836	32.7499990737668	0.776179790496826
32.7499990737668	15	32.9999990666964	63	32.9999990666964	66.7644805908203	32.9999990666964	-0.474279969930649
32.9999990666964	20	33.2499990596259	71	33.2499990596259	64.4015579223633	33.2499990596259	0.783091008663177
33.2499990596259	12	33.4999990525554	69	33.4999990525554	62.1399116516113	33.4999990525554	0.825857579708099
33.4999990525554	15	33.7499990454849	63	33.7499990454849	59.9766502380371	33.7499990454849	0.380906254053116
33.7499990454849	13	33.9999990384144	72	33.9999990384144	57.9110450744629	33.9999990384144	1.66039931774139
33.9999990384144	14	34.2499990313439	66	34.2499990313439	55.933464050293	34.2499990313439	1.23910486698151
34.2499990313439	7	34.4999990242735	58	34.4999990242735	54.0393562316895	34.4999990242735	0.52005797624588
34.4999990242735	7	34.749999017203	49	34.749999017203	52.2262535095215	34.749999017203	-0.460893362760544
34.749999017203	10	34.9999990101325	55	34.9999990101325	50.4942512512207	34.9999990101325	0.607555031776428
34.9999990101325	11	35.249999003062	48	35.249999003062	48.8294944763184	35.249999003062	-0.119727216660976
35.249999003062	11	35.4999989959915	49	35.4999989959915	47.2392845153809	35.4999989959915	0.251530796289444
35.4999989959915	8	35.749998988921	45	35.749998988921	45.7128868103027	35.749998988921	-0.106270894408226
35.749998988921	14	35.9999989818506	49	35.9999989818506	44.2509803771973	35.9999989818506	0.678431391716003
35.9999989818506	13	36.2499989747801	50	36.2499989747801	42.8498115539551	36.2499989747801	1.0111893415451
36.2499989747801	11	36.4999989677096	40	36.4999989677096	41.5065116882324	36.4999989677096	-0.238200411200523
36.4999989677096	14	36.7499989606391	38	36.7499989606391	40.214672088623	36.7499989606391	-0.359267264604569
36.7499989606391	12	36.9999989535686	43	36.9999989535686	38.9796524047852	36.9999989535686	0.613097250461578
36.9999989535686	6	37.2499989464982	46	37.2499989464982	37.7921409606934	37.2499989464982	1.21018278598785
37.2499989464982	6	37.4999989394277	34	37.4999989394277	36.6525421142578	37.4999989394277	-0.454907208681107
37.4999989394277	12	37.7499989323572	26	37.7499989323572	35.5581703186035	37.7499989323572	-1.87451148033142
37.7499989323572	11	37.9999989252867	28	37.9999989252867	34.506778717041	37.9999989252867	-1.2296656370163
37.9999989252867	8	38.2499989182162	35	38.2499989182162	33.4970970153809	38.2499989182162	0.254036962985992
38.2499989182162	15	38.4999989111457	24	38.4999989111457	32.526725769043	38.4999989111457	-1.74051058292389
38.4999989111457	12	38.7499989040753	29	38.7499989040753	31.5937805175781	38.7499989040753	-0.481652945280075
38.7499989040753	9	38.9999988970048	31	38.9999988970048	30.6972141265869	38.9999988970048	0.0543819479644299
38.9999988970048	10	39.2499988899343	41	39.2499988899343	29.8344841003418	39.2499988899343	1.74376058578491
39.2499988899343	10	39.4999988828638	22	39.4999988828638	29.0050239562988	39.4999988828638	-1.49347615242004
39.4999988828638	12	39.7499988757933	29	39.7499988757933	28.205753326416	39.7499988757933	0.147487908601761
39.7499988757933	13	39.9999988687229	24	39.9999988687229	27.4371070861816	39.9999988687229	-0.701596558094025
39.9999988687229	6	40.2499988616524	30	40.2499988616524	26.6971893310547	40.2499988616524	0.603007972240448
40.2499988616524	13	40.4999988545819	23	40.4999988545819	25.9843368530273	40.4999988545819	-0.62227725982666
40.4999988545819	8	40.7499988475114	27	40.7499988475114	25.2972660064697	40.7499988475114	0.327691316604614
40.7499988475114	12	40.9999988404409	28	40.9999988404409	24.6351375579834	40.9999988404409	0.635899245738983
