IRF_2,5Mhz2.ptu	 	p62-10_2,5MHz_1_OTCSPC; OverallDecay	 	Fitted Curve	 	Residuals	 
Time[탎]	Intensity[Cnts]	Time[탎]	Intensity[Cnts]	Time[탎]	Intensity[Cnts]	Time[탎]	Resids.[StdDev.]
0	2	0.000749999978788552	2	0.000749999978788552	---	0.000749999978788552	---
0.000249999992929517	7	0.00099999997171807	2	0.00099999997171807	---	0.00099999997171807	---
0.000499999985859035	2	0.00124999996464759	1	0.00124999996464759	---	0.00124999996464759	---
0.000749999978788552	4	0.0014999999575771	2	0.0014999999575771	---	0.0014999999575771	---
0.00099999997171807	7	0.00174999995050662	0	0.00174999995050662	---	0.00174999995050662	---
0.00124999996464759	7	0.00199999994343614	2	0.00199999994343614	---	0.00199999994343614	---
0.0014999999575771	2	0.00224999993636566	1	0.00224999993636566	---	0.00224999993636566	---
0.00174999995050662	7	0.00249999992929517	1	0.00249999992929517	---	0.00249999992929517	---
0.00199999994343614	4	0.00274999992222469	1	0.00274999992222469	---	0.00274999992222469	---
0.00224999993636566	2	0.00299999991515421	0	0.00299999991515421	---	0.00299999991515421	---
0.00249999992929517	4	0.00324999990808373	1	0.00324999990808373	---	0.00324999990808373	---
0.00274999992222469	2	0.00349999990101324	4	0.00349999990101324	---	0.00349999990101324	---
0.00299999991515421	4	0.00374999989394276	2	0.00374999989394276	---	0.00374999989394276	---
0.00324999990808373	6	0.00399999988687228	3	0.00399999988687228	---	0.00399999988687228	---
0.00349999990101324	9	0.0042499998798018	1	0.0042499998798018	---	0.0042499998798018	---
0.00374999989394276	5	0.00449999987273131	2	0.00449999987273131	---	0.00449999987273131	---
0.00399999988687228	6	0.00474999986566083	2	0.00474999986566083	---	0.00474999986566083	---
0.0042499998798018	9	0.00499999985859035	1	0.00499999985859035	---	0.00499999985859035	---
0.00449999987273131	6	0.00524999985151987	2	0.00524999985151987	---	0.00524999985151987	---
0.00474999986566083	5	0.00549999984444938	2	0.00549999984444938	---	0.00549999984444938	---
0.00499999985859035	8	0.0057499998373789	3	0.0057499998373789	---	0.0057499998373789	---
0.00524999985151987	1	0.00599999983030842	2	0.00599999983030842	---	0.00599999983030842	---
0.00549999984444938	6	0.00624999982323794	2	0.00624999982323794	---	0.00624999982323794	---
0.0057499998373789	1	0.00649999981616745	3	0.00649999981616745	---	0.00649999981616745	---
0.00599999983030842	9	0.00674999980909697	2	0.00674999980909697	---	0.00674999980909697	---
0.00624999982323794	4	0.00699999980202649	1	0.00699999980202649	---	0.00699999980202649	---
0.00649999981616745	5	0.00724999979495601	2	0.00724999979495601	---	0.00724999979495601	---
0.00674999980909697	8	0.00749999978788552	1	0.00749999978788552	---	0.00749999978788552	---
0.00699999980202649	5	0.00774999978081504	3	0.00774999978081504	---	0.00774999978081504	---
0.00724999979495601	12	0.00799999977374456	1	0.00799999977374456	---	0.00799999977374456	---
0.00749999978788552	2	0.00824999976667408	0	0.00824999976667408	---	0.00824999976667408	---
0.00774999978081504	7	0.00849999975960359	2	0.00849999975960359	---	0.00849999975960359	---
0.00799999977374456	7	0.00874999975253311	2	0.00874999975253311	---	0.00874999975253311	---
0.00824999976667408	7	0.00899999974546263	0	0.00899999974546263	---	0.00899999974546263	---
0.00849999975960359	8	0.00924999973839215	2	0.00924999973839215	---	0.00924999973839215	---
0.00874999975253311	9	0.00949999973132166	0	0.00949999973132166	---	0.00949999973132166	---
0.00899999974546263	8	0.00974999972425118	2	0.00974999972425118	---	0.00974999972425118	---
0.00924999973839215	1	0.0099999997171807	0	0.0099999997171807	---	0.0099999997171807	---
0.00949999973132166	1	0.0102499997101102	4	0.0102499997101102	---	0.0102499997101102	---
0.00974999972425118	4	0.0104999997030397	3	0.0104999997030397	---	0.0104999997030397	---
0.0099999997171807	6	0.0107499996959693	0	0.0107499996959693	---	0.0107499996959693	---
0.0102499997101102	4	0.0109999996888988	1	0.0109999996888988	---	0.0109999996888988	---
0.0104999997030397	5	0.0112499996818283	1	0.0112499996818283	---	0.0112499996818283	---
0.0107499996959693	4	0.0114999996747578	0	0.0114999996747578	---	0.0114999996747578	---
0.0109999996888988	5	0.0117499996676873	0	0.0117499996676873	---	0.0117499996676873	---
0.0112499996818283	4	0.0119999996606168	2	0.0119999996606168	---	0.0119999996606168	---
0.0114999996747578	8	0.0122499996535464	1	0.0122499996535464	---	0.0122499996535464	---
0.0117499996676873	3	0.0124999996464759	4	0.0124999996464759	---	0.0124999996464759	---
0.0119999996606168	10	0.0127499996394054	2	0.0127499996394054	---	0.0127499996394054	---
0.0122499996535464	3	0.0129999996323349	2	0.0129999996323349	---	0.0129999996323349	---
0.0124999996464759	6	0.0132499996252644	1	0.0132499996252644	---	0.0132499996252644	---
0.0127499996394054	4	0.0134999996181939	1	0.0134999996181939	---	0.0134999996181939	---
0.0129999996323349	5	0.0137499996111235	2	0.0137499996111235	---	0.0137499996111235	---
0.0132499996252644	10	0.013999999604053	2	0.013999999604053	---	0.013999999604053	---
0.0134999996181939	7	0.0142499995969825	4	0.0142499995969825	---	0.0142499995969825	---
0.0137499996111235	6	0.014499999589912	0	0.014499999589912	---	0.014499999589912	---
0.013999999604053	4	0.0147499995828415	1	0.0147499995828415	---	0.0147499995828415	---
0.0142499995969825	5	0.014999999575771	0	0.014999999575771	---	0.014999999575771	---
0.014499999589912	8	0.0152499995687006	1	0.0152499995687006	---	0.0152499995687006	---
0.0147499995828415	6	0.0154999995616301	2	0.0154999995616301	---	0.0154999995616301	---
0.014999999575771	2	0.0157499995545596	0	0.0157499995545596	---	0.0157499995545596	---
0.0152499995687006	7	0.0159999995474891	3	0.0159999995474891	---	0.0159999995474891	---
0.0154999995616301	3	0.0162499995404186	0	0.0162499995404186	---	0.0162499995404186	---
0.0157499995545596	10	0.0164999995333482	3	0.0164999995333482	---	0.0164999995333482	---
0.0159999995474891	8	0.0167499995262777	2	0.0167499995262777	---	0.0167499995262777	---
0.0162499995404186	4	0.0169999995192072	1	0.0169999995192072	---	0.0169999995192072	---
0.0164999995333482	7	0.0172499995121367	1	0.0172499995121367	---	0.0172499995121367	---
0.0167499995262777	5	0.0174999995050662	0	0.0174999995050662	---	0.0174999995050662	---
0.0169999995192072	6	0.0177499994979957	1	0.0177499994979957	---	0.0177499994979957	---
0.0172499995121367	3	0.0179999994909253	1	0.0179999994909253	---	0.0179999994909253	---
0.0174999995050662	7	0.0182499994838548	0	0.0182499994838548	---	0.0182499994838548	---
0.0177499994979957	5	0.0184999994767843	30	0.0184999994767843	---	0.0184999994767843	---
0.0179999994909253	8	0.0187499994697138	293	0.0187499994697138	---	0.0187499994697138	---
0.0182499994838548	8	0.0189999994626433	928	0.0189999994626433	---	0.0189999994626433	---
0.0184999994767843	8	0.0192499994555728	1013	0.0192499994555728	---	0.0192499994555728	---
0.0187499994697138	20	0.0194999994485024	981	0.0194999994485024	---	0.0194999994485024	---
0.0189999994626433	122	0.0197499994414319	853	0.0197499994414319	---	0.0197499994414319	---
0.0192499994555728	89	0.0199999994343614	697	0.0199999994343614	---	0.0199999994343614	---
0.0194999994485024	34	0.0202499994272909	596	0.0202499994272909	---	0.0202499994272909	---
0.0197499994414319	11	0.0204999994202204	528	0.0204999994202204	---	0.0204999994202204	---
