# Time (sec),Drain (A),Drain (V)
0.000,0.000321264,2.0
0.480,0.00033705,2.0
1.020,0.000348802,2.0
1.510,0.000358794,2.0
2.110,0.000369903,2.0
2.580,0.000378008,2.0
3.070,0.000385849,2.0
3.610,0.000393753,2.0
4.150,0.000401111,2.0
4.670,0.000407567,2.0
5.110,0.000412798,2.0
5.560,0.000417624,2.0
6.010,0.000422035,2.0
6.500,0.000426784,2.0
6.980,0.000430925,2.0
7.460,0.000434821,2.0
7.930,0.000438588,2.0
8.379,0.000442021,2.0
8.839,0.000445334,2.0
9.299,0.000448352,2.0
9.749,0.000451161,2.0
10.239,0.000453825,2.0
10.729,0.000456759,2.0
11.239,0.000459216,2.0
11.719,0.000461776,2.0
12.219,0.00046404,2.0
12.729,0.00046644,2.0
13.239,0.000468736,2.0
13.759,0.000470992,2.0
14.279,0.000472838,2.0
14.839,0.000475032,2.0
15.379,0.000477068,2.0
15.929,0.000478936,2.0
16.459,0.000480955,2.0
16.989,0.00048233,2.0
17.569,0.000484323,2.0
18.149,0.000486211,2.0
18.669,0.000487734,2.0
19.119,0.000488683,2.0
19.589,0.000489954,2.0
20.059,0.000491345,2.0
20.499,0.000492356,2.0
20.999,0.000493448,2.0
21.459,0.000494798,2.0
21.929,0.000495733,2.0
22.419,0.000496663,2.0
22.919,0.000497684,2.0
23.399,0.000498819,2.0
23.869,0.000499665,2.0
24.369,0.000500673,2.0
24.878,0.000501652,2.0
25.368,0.000502504,2.0
25.868,0.000503271,2.0
26.368,0.000504049,2.0
26.868,0.000504969,2.0
27.378,0.000505853,2.0
27.858,0.000506526,2.0
28.368,0.000507382,2.0
28.868,0.000508019,2.0
29.388,0.000508904,2.0
29.918,0.000509653,2.0
30.428,0.000510504,2.0
30.938,0.0005111,2.0
31.508,0.000511719,2.0
32.018,0.000512496,2.0
32.538,0.000513408,2.0
33.078,0.000514401,2.0
33.588,0.00051488,2.0
34.128,0.000515501,2.0
34.698,0.000516055,2.0
35.248,0.000516772,2.0
35.798,0.00051744,2.0
36.378,0.000518213,2.0
36.868,0.000518832,2.0
37.378,0.000519325,2.0
37.878,0.00051988,2.0
38.368,0.000520339,2.0
38.878,0.000520934,2.0
39.378,0.000521526,2.0
39.898,0.000521702,2.0
40.398,0.000522376,2.0
40.918,0.000522789,2.0
41.427,0.000523204,2.0
41.927,0.000523653,2.0
42.467,0.000523926,2.0
42.957,0.000524709,2.0
43.457,0.000524995,2.0
43.987,0.00052551,2.0
44.497,0.00052585,2.0
44.907,0.00052614,2.0
45.307,0.000526535,2.0
45.697,0.000526699,2.0
46.097,0.000526979,2.0
46.527,0.000527272,2.0
46.927,0.000527729,2.0
47.327,0.000527909,2.0
47.727,0.000528511,2.0
48.127,0.00052882,2.0
48.537,0.000529001,2.0
48.947,0.000529501,2.0
49.347,0.000529491,2.0
49.767,0.000530002,2.0
50.177,0.000529929,2.0
50.597,0.000530268,2.0
51.007,0.000530372,2.0
51.447,0.00053086,2.0
